""
37AACCK8056H1ZB,Kanti Brothers Oils Pvt Ltd. Kurnool
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-01,20-21/LLF/106,52418,GSTR2B Input,01/11/2020,20-21/LLF/106,55976
Books,2020-11-01,20-21/CAM/116,17658,GSTR2B Input,01/11/2020,20-21/CAM/116,17658
37ACIFS7105A1ZD,Sree Vijaya Krishna Hospitality Services Vizag
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-02,3,187384,,,,
33AAKCA4972C1ZU,Artex Trends (India) Pvt Ltd CHN
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-17,201037RT02311,3495,,,,
,,,,GSTR2B Input,26/11/2020,201137RQ00001,4519.4
,,,,GSTR2B Input,26/11/2020,201137RQ00002,4948.92
,,,,GSTR2B Input,26/11/2020,201137RQ00003,6161.96
,,,,GSTR2B Input,03/11/2020,201137RT00359,1568.22
,,,,GSTR2B Input,03/11/2020,201137RT00360,3531.74
,,,,GSTR2B Input,03/11/2020,201137RT00362,1568.22
,,,,GSTR2B Input,03/11/2020,201137RT00363,1839.62
,,,,GSTR2B Input,03/11/2020,201137RT00364,3876.3
,,,,GSTR2B Input,03/11/2020,201137RT00365,3333.5
,,,,GSTR2B Input,03/11/2020,201137RT00379,3879.84
,,,,GSTR2B Input,03/11/2020,201137RT00380,767.0
,,,,GSTR2B Input,03/11/2020,201137RT00381,1829.0
,,,,GSTR2B Input,03/11/2020,201137RT00382,20141.42
,,,,GSTR2B Input,04/11/2020,201137RT00591,4140.62
,,,,GSTR2B Input,04/11/2020,201137RT00592,5964.9
,,,,GSTR2B Input,04/11/2020,201137RT00593,16450.38
,,,,GSTR2B Input,05/11/2020,201137RT00762,767.0
,,,,GSTR2B Input,05/11/2020,201137RT00763,767.0
,,,,GSTR2B Input,05/11/2020,201137RT00764,401.2
,,,,GSTR2B Input,05/11/2020,201137RT00765,1037.22
,,,,GSTR2B Input,05/11/2020,201137RT00766,1037.22
,,,,GSTR2B Input,05/11/2020,201137RT00767,9874.24
,,,,GSTR2B Input,05/11/2020,201137RT00768,1957.62
,,,,GSTR2B Input,05/11/2020,201137RT00769,7084.72
,,,,GSTR2B Input,05/11/2020,201137RT00770,1568.22
,,,,GSTR2B Input,05/11/2020,201137RT00771,3673.34
,,,,GSTR2B Input,06/11/2020,201137RT00910,3564.78
,,,,GSTR2B Input,07/11/2020,201137RT01158,1829.0
,,,,GSTR2B Input,07/11/2020,201137RT01159,5169.58
,,,,GSTR2B Input,07/11/2020,201137RT01160,5594.38
,,,,GSTR2B Input,10/11/2020,201137RT01398,3571.86
,,,,GSTR2B Input,10/11/2020,201137RT01399,1982.4
,,,,GSTR2B Input,10/11/2020,201137RT01400,3602.54
