""
37AACCK8056H1ZB,Kanti Brothers Oils Pvt Ltd. Kurnool
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-01,20-21/LLF/106,52418,GSTR2B Input,01/11/2020,20-21/LLF/106,55976
Books,2020-11-01,20-21/CAM/116,17658,GSTR2B Input,01/11/2020,20-21/CAM/116,17658
37ACIFS7105A1ZD,Sree Vijaya Krishna Hospitality Services Vizag
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-02,3,187384,,,,
33AAKCA4972C1ZU,Artex Trends (India) Pvt Ltd CHN
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-09,20-21/2/SL-1516,283290,GSTR2B Input,07/11/2020,20-21/2/SL-1516,283290
Books,2020-11-09,20-21/2/SL-1517,222390,GSTR2B Input,07/11/2020,20-21/2/SL-1517,222390
29AAQFP8137M1ZA,Premier Fabric Sourcing LLP Bangalore
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-09,P001922W,1008,,,,
Books,2020-11-25,P001922W,-1008,,,,
,,,,GSTR2B Input,14/10/2020,P001717W,420560
,,,,GSTR2B Input,14/10/2020,P001718W,275427
,,,,GSTR2B Input,16/10/2020,P001764W,502866
,,,,GSTR2B Input,16/10/2020,P001765W,478716
,,,,GSTR2B Input,16/10/2020,P001766W,495249
,,,,GSTR2B Input,16/10/2020,P001767W,461475
,,,,GSTR2B Input,16/10/2020,P001768W,326335
37AADFT2599Q1Z8,V.H.M.Traders Vja.
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-10,GST-5347,111014,,,,
Books,2020-11-20,GST-5758,1287,,,,
Books,2020-11-21,GST-5881,12390,,,,
Books,2020-11-24,GST-5954,1200,,,,
Books,2020-11-28,GST-6109,24780,,,,
Books,2020-11-30,GST-6184,2498,,,,
Books,2020-11-30,GST-6221,4012,,,,
Books,2020-11-30,GST-6223,3841,,,,
37ABXPB0284F1ZK,Baid Electronics Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-10,GSTA 8725,550,,,,
Books,2020-11-17,GSTA 9044,13500,,,,
Books,2020-11-26,GSTA 1611,29400,,,,
Books,2020-11-26,GSTA 4948,-2200,,,,
Books,2020-11-30,GSTA 9417,2200,,,,
Books,2020-11-30,GSTA 9420,400,,,,
,,,,GSTR2B Input,09/11/2020,GSTA/8725,550
,,,,GSTR2B Input,16/11/2020,GSTA/9044,13500
,,,,GSTR2B Input,24/11/2020,GSTA/9417,2200
,,,,GSTR2B Input,24/11/2020,GSTA/9420,400
27AADCM6034E1ZP,Makani Creatives Pvt Ltd - Mumbai
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-10,MED-0060/19-20,320375,,,,
27AAFPS4508Q1Z2,Chimanlal & Sons Mumbai
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-10,CNS-176/20-21,29377,,,,
Books,2020-11-28,CNS-205/19-20,15924,,,,
37AAGCC2079J2ZE,Casa Motors Pvt Ltd Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-11,1776,512,,,,
Books,2020-11-11,1835,4799,,,,
37AACCV8811F1Z9,Hotel Minerva Grand Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-11,2718,3360,,,,
Books,2020-11-12,185,7000,,,,
Books,2020-11-12,190,2545,,,,
Books,2020-11-12,195,4548,,,,
Books,2020-11-12,194,3000,,,,
Books,2020-11-12,192,3000,,,,
,,,,GSTR2B Input,24/10/2020,2775FMBIL0002718,3360
09AABCM9407D1ZK,Shree Maruti Courier Services Pvt Ltd. Vizag
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-11,371531/2021/0235,54511,,,,
37ATZPK9905E2ZZ,Sri Lakshmi Venkateswara Agencies Vja (FDC)
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-11,9999,26430,,,,
29AAFCT2249A1ZJ,Text Mercato Solutions Pvt Ltd.Bangalore
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-11,TM/11/2020/772,20387,GSTR2B Input,10/11/2020,TM/11/2020/772,20650
,,,,GSTR2B Input,30/11/2020,TM/11/2020/772A,29240.4
27AHVPM1167E1Z2,Jade Creation - Mumbai
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-11,18,168310,,,,
Books,2020-11-11,19,96067,,,,
Books,2020-11-12,22,145757,,,,
Books,2020-11-20,23,14778,,,,
Books,2020-11-27,25,15246,,,,
Books,2020-11-27,26,76248,,,,
Books,2020-11-27,27,202221,,,,
Books,2020-11-30,28,209548,,,,
Books,2020-11-30,29,59548,,,,
Books,2020-11-30,30,68842,,,,
,,,,GSTR2B Input,21/07/2020,JADE/01/2020-21,148628
,,,,GSTR2B Input,29/08/2020,JADE/02/2020-21,58653
,,,,GSTR2B Input,18/09/2020,JADE/03/2020-21,249433
,,,,GSTR2B Input,21/09/2020,JADE/04/2020-21,306205
,,,,GSTR2B Input,21/09/2020,JADE/05/2020-21,4253
,,,,GSTR2B Input,21/09/2020,JADE/06/2020-21,12994
,,,,GSTR2B Input,21/09/2020,JADE/07/2020-21,2126
,,,,GSTR2B Input,21/09/2020,JADE/08/2020-21,4961
,,,,GSTR2B Input,30/09/2020,JADE/09/2020-21,224356
21AASFP2441A1ZQ,Printing Dunia Cuttack
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-11,179,2237,GSTR2B Input,31/10/2020,179,2265.6
Books,2020-11-18,180,6937,GSTR2B Input,31/10/2020,180,7026.32
37ABYPM1194N1ZO,Delite Autolec Company Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-11,2355,5500,,,,
Books,2020-11-23,1150,500,,,,
Books,2020-11-23,187,3600,,,,
37AAGFG5758D1ZA,Ganesh Trading Company Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-11,418,11682,,,,
37AABCM9407D2ZK,Shree Maruti Courier Services Pvt Ltd. Vizag
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-11,20604200048256,-270,,,,
,,,,GSTR2B Input,30/11/2020,371531/2021/0276,60695.19
37AASFM6519N2ZD,Hotel MSR Residency Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-12,404,1791,,,,
Books,2020-11-12,400,1791,,,,
Books,2020-11-12,401,1791,,,,
Books,2020-11-12,405,1791,,,,
Books,2020-11-12,410,1791,,,,
Books,2020-11-12,406,1343,,,,
Books,2020-11-12,411,1791,,,,
Books,2020-11-12,412,2015,,,,
Books,2020-11-12,415,1567,,,,
Books,2020-11-12,416,3358,,,,
Books,2020-11-12,422,1791,,,,
Books,2020-11-12,425,4030,,,,
Books,2020-11-12,424,1567,,,,
Books,2020-11-12,427,3582,,,,
Books,2020-11-12,428,1791,,,,
Books,2020-11-12,429,1343,,,,
Books,2020-11-12,434,2015,,,,
Books,2020-11-12,431,4030,,,,
37AERPP9216L1ZN,Sheetal Industrial AgencyVijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-12,SIA/20-21/1213,11210,GSTR2B Input,11/11/2020,SIA/20-21/1213,11210
37ACBPL0946K1ZI,Mangilal Plastic Centre Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-12,1013,20060,,,,
Books,2020-11-24,1097,20060,,,,
,,,,GSTR2B Input,09/10/2020,778,6490
,,,,GSTR2B Input,12/10/2020,793,10030
,,,,GSTR2B Input,16/10/2020,820,12036
,,,,GSTR2B Input,29/10/2020,882,20060
33AACFW0098C1ZH,Wearever Tirupur
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-12,308/20-21,65112,GSTR2B Input,07/11/2020,308/20-21,65112
Books,2020-11-21,312/20-21,343030,GSTR2B Input,12/11/2020,312/20-21,343030
Books,2020-11-30,318/20-21,289191,GSTR2B Input,25/11/2020,318/20-21,289191
37AATCS1423P1ZO,Sanjana Flexipack Pvt Ltd. - Guntur
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-12,173,149834,,,,
,,,,GSTR2B Input,10/11/2020,III/173,149834
,,,,GSTR2B Input,15/10/2020,III/148,22220
,,,,GSTR2B Input,18/10/2020,III/151,28672
,,,,GSTR2B Input,19/10/2020,III/152,151804
,,,,GSTR2B Input,29/10/2020,III/161,202246
24ACFPK3321B1ZE,Simit Enterprise Ahmedabad
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-12,041,222078,,,,
Books,2020-11-12,042,162516,,,,
Books,2020-11-12,043,4342,,,,
Books,2020-11-12,055,58019,GSTR2B Input,03/11/2020,055,58018.71
,,,,GSTR2B Input,30/11/2020,065,294941.0
,,,,GSTR2B Input,30/11/2020,066,71572.9
,,,,GSTR2B Input,30/11/2020,067,204967.77
24AAACZ2046E1ZP,Zedex Clothing Pvt Ltd Ahmedabad (New)
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-12,ZX-TI/103/20-21,482849,,,,
Books,2020-11-12,ZX-TI/105/20-21,212342,,,,
Books,2020-11-12,ZX-TI/106/20-21,250201,,,,
Books,2020-11-12,ZX-TI/107/20-21,500854,,,,
Books,2020-11-12,ZX-TI/108/20-21,166019,,,,
Books,2020-11-12,ZX-TI/109/20-21,45360,,,,
Books,2020-11-12,ZX-TI/110/20-21,36540,,,,
Books,2020-11-12,ZX-TI/111/20-21,25200,,,,
Books,2020-11-12,ZX-TI/115/20-21,306036,,,,
Books,2020-11-12,ZX-TI/124/20-21,383531,GSTR2B Input,04/11/2020,ZX-TI/124/20-21,383531
Books,2020-11-12,ZX-TI/125/20-21,463747,GSTR2B Input,04/11/2020,ZX-TI/125/20-21,463747
Books,2020-11-12,ZX-TI/127/20-21,842582,GSTR2B Input,05/11/2020,ZX-TI/127/20-21,842582
Books,2020-11-12,ZX-TI/123/20-21,474752,GSTR2B Input,03/11/2020,ZX-TI/123/20-21,474752
Books,2020-11-12,ZX-TI/114/20-21,1029672,,,,
Books,2020-11-12,ZX-TI/128/20-21,470336,GSTR2B Input,05/11/2020,ZX-TI/128/20-21,470336
Books,2020-11-12,ZX-TI/129/20-21,120166,GSTR2B Input,05/11/2020,ZX-TI/129/20-21,120166
Books,2020-11-12,ZX-TI/130/20-21,203234,GSTR2B Input,05/11/2020,ZX-TI/130/20-21,203234
Books,2020-11-12,ZX-TI/131/20-21,936256,GSTR2B Input,05/11/2020,ZX-TI/131/20-21,936256
Books,2020-11-19,ZX-TI/112/20-21,116424,,,,
Books,2020-11-19,ZX-TI/113/20-21,213003,,,,
Books,2020-11-19,ZX-TI/122/20-21,223913,GSTR2B Input,03/11/2020,ZX-TI/122/20-21,223913
Books,2020-11-19,ZX-TI/133/20-21,502110,GSTR2B Input,06/11/2020,ZX-TI/133/20-21,502110
Books,2020-11-19,ZX-TI/140/20-21,1092861,GSTR2B Input,09/11/2020,ZX-TI/140/20-21,1092861
Books,2020-11-19,ZX-TI/147/20-21,273578,GSTR2B Input,12/11/2020,ZX-TI/147/20-21,273578
Books,2020-11-19,ZX-TI/148/20-21,329677,GSTR2B Input,12/11/2020,ZX-TI/148/20-21,329677
Books,2020-11-19,ZX-TI/58/20-21,-897,,,,
Books,2020-11-20,ZX-TI/149/20-21,117745,GSTR2B Input,12/11/2020,ZX-TI/149/20-21,117745
Books,2020-11-20,ZX-TI/150/20-21,542042,GSTR2B Input,12/11/2020,ZX-TI/150/20-21,542042
Books,2020-11-20,ZX-TI/143/20-21,493264,GSTR2B Input,11/11/2020,ZX-TI/143/20-21,493264
Books,2020-11-23,ZX-TI/138/20-21,592729,GSTR2B Input,09/11/2020,ZX-TI/138/20-21,592729
Books,2020-11-23,ZX-TI/139/20-21,188345,GSTR2B Input,09/11/2020,ZX-TI/139/20-21,188345
Books,2020-11-25,ZX-TI/13/20-21,-10130,,,,
Books,2020-11-25,ZX-TI/15/20-21,-11429,,,,
Books,2020-11-25,ZX-TI/15/20-21,-1959,,,,
Books,2020-11-25,ZX-TI/19/20-21,-1113,,,,
Books,2020-11-25,ZX-TI/10/20-21,-3534,,,,
Books,2020-11-25,ZX-TI/14/20-21,-3822,,,,
Books,2020-11-25,ZX-TI/17/20-21,-2417,,,,
Books,2020-11-25,ZX-TI/18/20-21,-2940,,,,
Books,2020-11-25,ZX-TI/33/20-21,-5523,,,,
Books,2020-11-30,ZX-TI/132/20-21,874700,GSTR2B Input,06/11/2020,ZX-TI/132/20-21,874700
Books,2020-11-30,ZX-TI/136/20-21,726062,GSTR2B Input,09/11/2020,ZX-TI/136/20-21,726062
Books,2020-11-30,ZX-TI/137/20-21,248682,GSTR2B Input,09/11/2020,ZX-TI/137/20-21,248682
,,,,GSTR2B Input,07/11/2020,ZX-TI/134/20-21,10080
,,,,GSTR2B Input,07/11/2020,ZX-TI/135/20-21,17640
,,,,GSTR2B Input,11/11/2020,ZX-TI/142/20-21,3360
,,,,GSTR2B Input,30/11/2020,ZX-TI/151/20-21,407213
,,,,GSTR2B Input,30/11/2020,ZX-TI/152/20-21,157437
27AIQPG1896C1Z2,Maddox Apparels Mumbai
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-12,MDX /20-21/048,37825,,,,
Books,2020-11-19,MDX /20-21/049,405518,,,,
Books,2020-11-19,MDX /20-21/050,405296,,,,
Books,2020-11-19,MDX /20-21/051,503009,,,,
Books,2020-11-19,MDX /20-21/052,7088,,,,
Books,2020-11-23,"39,40,43 & 42",-14347,,,,
Books,2020-11-30,MDX /20-21/053,477792,,,,
Books,2020-11-30,MDX /20-21/054,467838,,,,
,,,,GSTR2B Input,27/08/2020,MDX/20-21/011,1068143
,,,,GSTR2B Input,27/08/2020,MDX/20-21/012,85838
,,,,GSTR2B Input,06/10/2020,MDX/20-21/025,327233
,,,,GSTR2B Input,06/10/2020,MDX/20-21/026,947381
,,,,GSTR2B Input,06/10/2020,MDX/20-21/028,548946
,,,,GSTR2B Input,10/10/2020,MDX/20-21/029,428446
,,,,GSTR2B Input,10/10/2020,MDX/20-21/030,370414
,,,,GSTR2B Input,10/10/2020,MDX/20-21/031,216701
,,,,GSTR2B Input,12/10/2020,MDX/20-21/032,394571
,,,,GSTR2B Input,20/10/2020,MDX/20-21/033,229908
,,,,GSTR2B Input,20/10/2020,MDX/20-21/034,398292
,,,,GSTR2B Input,20/10/2020,MDX/20-21/035,585641
,,,,GSTR2B Input,20/10/2020,MDX/20-21/036,19688
,,,,GSTR2B Input,20/10/2020,MDX/20-21/037,18815
,,,,GSTR2B Input,23/10/2020,MDX/20-21/038,585766
,,,,GSTR2B Input,23/10/2020,MDX/20-21/039,327542
,,,,GSTR2B Input,23/10/2020,MDX/20-21/040,244864
,,,,GSTR2B Input,23/10/2020,MDX/20-21/041,7088
,,,,GSTR2B Input,28/10/2020,MDX/20-21/042,308328
,,,,GSTR2B Input,28/10/2020,MDX/20-21/043,253915
,,,,GSTR2B Input,28/10/2020,MDX/20-21/044,326592
,,,,GSTR2B Input,28/10/2020,MDX/20-21/045,265973
,,,,GSTR2B Input,28/10/2020,MDX/20-21/046,408391
,,,,GSTR2B Input,31/10/2020,MDX/20-21/047,1592640
,,,,GSTR2B Input,08/09/2020,MDX/20-21/013,551901
,,,,GSTR2B Input,08/09/2020,MDX/20-21/014,37013
,,,,GSTR2B Input,12/09/2020,MDX/20-21/015,42525
,,,,GSTR2B Input,18/09/2020,MDX/20-21/017,526697
,,,,GSTR2B Input,18/09/2020,MDX/20-21/018,331162
,,,,GSTR2B Input,18/09/2020,MDX/20-21/019,18113
,,,,GSTR2B Input,24/09/2020,MDX/20-21/020,455569
,,,,GSTR2B Input,29/09/2020,MDX/20-21/021,246336
,,,,GSTR2B Input,29/09/2020,MDX/20-21/022,200390
27AJPPD0133K1ZB,Paramparik Vastr.Mumbai
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-12,41/20-21,248378,,,,
27AAFPS7782J1ZY,Attire Creations Mumbai (Purchases A/c)
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-12,20-21/012,463386,GSTR2B Input,02/11/2020,20-21/012,463386
Books,2020-11-13,20-21/014,221906,GSTR2B Input,06/11/2020,20-21/014,221906
Books,2020-11-19,20-21/015,150977,GSTR2B Input,11/11/2020,20-21/015,150977
Books,2020-11-23,20-21/016,255549,GSTR2B Input,13/11/2020,20-21/016,255549
Books,2020-11-30,20-21/019,245883,GSTR2B Input,27/11/2020,20-21/019,245883
Books,2020-11-30,20-21/017,658585,GSTR2B Input,24/11/2020,20-21/017,658585
27AAKCM8535D1ZA,Mudo Fashion Pvt Ltd Mumbai
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-12,116,597654.76,GSTR2B Input,01/11/2020,116,598103
Books,2020-11-12,117,1752969.27,GSTR2B Input,02/11/2020,117,1754284
Books,2020-11-12,119,532431.68,GSTR2B Input,02/11/2020,119,532831
Books,2020-11-12,121,727329.5,GSTR2B Input,04/11/2020,121,727875
Books,2020-11-12,118,1391024.73,GSTR2B Input,02/11/2020,118,1392068
Books,2020-11-13,122,781177.12,GSTR2B Input,05/11/2020,122,781763
Books,2020-11-13,124,2335501.0,GSTR2B Input,07/11/2020,124,2335501
Books,2020-11-13,125,333242.0,GSTR2B Input,07/11/2020,125,333242
Books,2020-11-13,127,605071.0,GSTR2B Input,10/11/2020,127,605071
Books,2020-11-13,128,824001.0,GSTR2B Input,10/11/2020,128,824001
Books,2020-11-13,106,47249.56,,,,
Books,2020-11-13,108,17849.61,,,,
Books,2020-11-13,110,14909.82,,,,
Books,2020-11-19,120,1024674.49,GSTR2B Input,04/11/2020,120,1025443
Books,2020-11-19,123,760890.0,GSTR2B Input,06/11/2020,123,760890
Books,2020-11-19,126,585272.0,GSTR2B Input,10/11/2020,126,585272
Books,2020-11-19,130,1905630.0,GSTR2B Input,10/11/2020,130,1905630
Books,2020-11-19,132,455956.0,GSTR2B Input,12/11/2020,132,455956
Books,2020-11-23,133,1227884.0,GSTR2B Input,13/11/2020,133,1227884
Books,2020-11-23,134,493630.0,GSTR2B Input,14/11/2020,134,493630
Books,2020-11-23,136,449922.0,GSTR2B Input,16/11/2020,136,449922
Books,2020-11-23,137,562782.0,GSTR2B Input,17/11/2020,137,562782
Books,2020-11-23,131,416795.0,GSTR2B Input,12/11/2020,131,416795
Books,2020-11-23,135,459669.0,GSTR2B Input,16/11/2020,135,459669
Books,2020-11-24,138,1191197.0,GSTR2B Input,20/11/2020,138,1191197
Books,2020-11-25,129,1016060.0,GSTR2B Input,10/11/2020,129,1016060
Books,2020-11-30,139,479768.0,GSTR2B Input,20/11/2020,139,479768
Books,2020-11-30,142,1206546.0,GSTR2B Input,24/11/2020,142,1206546
Books,2020-11-30,144,1313374.0,GSTR2B Input,26/11/2020,144,1313374
Books,2020-11-30,145,1051152.0,GSTR2B Input,28/11/2020,145,1051152
Books,2020-11-30,149,1819100.0,GSTR2B Input,29/11/2020,149,1819100
,,,,GSTR2B Input,20/11/2020,140,799847
,,,,GSTR2B Input,23/11/2020,141,1363027
,,,,GSTR2B Input,25/11/2020,143,804307
,,,,GSTR2B Input,28/11/2020,146,865155
,,,,GSTR2B Input,28/11/2020,147,928274
,,,,GSTR2B Input,29/11/2020,148,615596
,,,,GSTR2B Input,29/11/2020,150,572954
,,,,GSTR2B Input,30/11/2020,151,1313395
37AAEFV2030R1ZT,Hotel D.V.Manor Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-13,Q202100040,300782,GSTR2B Input,07/11/2020,Q202100040,300782.0
,,,,GSTR2B Input,27/11/2020,B202101652,17445.12
,,,,GSTR2B Input,24/11/2020,H202100208,87.91
,,,,GSTR2B Input,25/11/2020,H202100210,87.91
,,,,GSTR2B Input,23/11/2020,R2021003382,177.0
,,,,GSTR2B Input,24/11/2020,R2021003428,502.09
,,,,GSTR2B Input,24/11/2020,R2021003437,856.09
,,,,GSTR2B Input,25/11/2020,R2021003442,148.09
,,,,GSTR2B Input,25/11/2020,R2021003471,413.0
,,,,GSTR2B Input,25/11/2020,R2021003479,795.91
,,,,GSTR2B Input,26/11/2020,R2021003488,148.09
,,,,GSTR2B Input,26/11/2020,R2021003530,177.0
,,,,GSTR2B Input,26/11/2020,R2021003531,590.0
37AABCC8940P1Z2,Ceasefire Industries Pvt Ltd. Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-13,AP102021ARTI448,88877,GSTR2B Input,13/11/2020,AP102021ARTI448,88876.66
Books,2020-11-25,AP102021ARTI487,30267,GSTR2B Input,24/11/2020,AP102021ARTI487,30267.0
24AAQFR1625J1Z1,Ripper Industries.Gujarat
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-13,34,841618,,,,
Books,2020-11-19,35,368108,,,,
Books,2020-11-19,36,374591,,,,
Books,2020-11-21,37,263424,,,,
Books,2020-11-28,44,153275,,,,
09AEFPN4435D1ZM,Mrt - Nayyar Sons Exclusive
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-13,174,248654,,,,
Books,2020-11-13,174,49771,,,,
24AABCM7864L1Z2,Mahalaxmi Global Ahmedabad
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-14,GBL/418/20-21,367919,GSTR2B Input,12/11/2020,GBL/418/20-21,367919
Books,2020-11-14,GBL/419/20-21,242850,GSTR2B Input,12/11/2020,GBL/419/20-21,242850
Books,2020-11-14,GBL/420/20-21,323449,GSTR2B Input,12/11/2020,GBL/420/20-21,323449
Books,2020-11-14,GBL/421/20-21,240441,GSTR2B Input,12/11/2020,GBL/421/20-21,240441
Books,2020-11-14,GBL/422/20-21,422699,GSTR2B Input,12/11/2020,GBL/422/20-21,422699
Books,2020-11-14,GBL/425/20-21,96719,GSTR2B Input,12/11/2020,GBL/425/20-21,96719
Books,2020-11-25,GBL/447/20-21,104197,GSTR2B Input,24/11/2020,GBL/447/20-21,104197
Books,2020-11-25,GBL/448/20-21,67679,GSTR2B Input,24/11/2020,GBL/448/20-21,67679
Books,2020-11-25,GBL/449/20-21,72674,GSTR2B Input,24/11/2020,GBL/449/20-21,72674
,,,,GSTR2B Input,12/11/2020,GBL/423/20-21,244115
,,,,GSTR2B Input,12/11/2020,GBL/424/20-21,320766
,,,,GSTR2B Input,24/11/2020,GBL/450/20-21,91799
27AAATT4357K1Z3,The Clothing Mfg Assn. of India Mumbai
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-16,202,29500,,,,
,,,,GSTR2B Input,30/09/2020,2020-21/NGF/202,29500
37ABYPM1191K1ZX,Jyothi Enterprises - Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-16,1789,2730,,,,
37BBJPP1040C1Z1,HAC IT Services Vijayawada
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-16,HAC-S-0014/19-20,413,,,,
Books,2020-11-18,HAC-S-0012/19-20,2832,,,,
Books,2020-11-18,HAC-S-0013/19-20,3009,,,,
Books,2020-11-20,HAC-M-0003/20-21,1180,,,,
37AEFPN7775N1ZL,Venkata Lakshmi PackagesGuntur
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-16,236,142303,GSTR2B Input,07/11/2020,236,142303
27AAUFP3660K1ZK,Parshva Impex Mumbai
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-16,195-2020/2021,123568,,,,
27AAOFD7732L1ZV,Design OceanThane
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-17,178,109510,,,,
,,,,GSTR2B Input,06/07/2020,172,2360000
27AAFPS3051G1ZR,Bharat Thread Agency.Mumbai
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-17,2756/TI/20-21,45765,GSTR2B Input,10/11/2020,2756/TI/20-21,45765
Books,2020-11-17,2757/TI/20-21,52434,GSTR2B Input,10/11/2020,2757/TI/20-21,52434
Books,2020-11-17,2759/TI/20-21,32172,GSTR2B Input,10/11/2020,2759/TI/20-21,32172
Books,2020-11-17,2758/TI/20-21,22840,GSTR2B Input,10/11/2020,2758/TI/20-21,22840
Books,2020-11-17,2760/TI/20-21,7901,GSTR2B Input,10/11/2020,2760/TI/20-21,7901
Books,2020-11-17,2761/TI/20-21,8638,GSTR2B Input,10/11/2020,2761/TI/20-21,8638
Books,2020-11-27,2824/TI/20-21,2549,GSTR2B Input,25/11/2020,2824/TI/20-21,2549
07BOJPA5744K1ZS,Niharika Enterprises- Delhi
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-17,NE/0161/20-21,5086,,,,
Books,2020-11-17,NE/0174/20-21,83084,,,,
Books,2020-11-17,NE/0175/20-21,9983,,,,
Books,2020-11-17,NE/0177/20-21,86518,,,,
Books,2020-11-17,NE/0178/20-21,37666,,,,
Books,2020-11-17,NE/0180/20-21,42912,,,,
Books,2020-11-17,NE/0183/20-21,25541,,,,
Books,2020-11-17,NE/0185/20-21,15340,,,,
Books,2020-11-17,NE/0186/20-21,29500,,,,
Books,2020-11-17,NE/0187/20-21,4814,,,,
Books,2020-11-17,NE/0191/20-21,37760,,,,
Books,2020-11-17,NE/0193/20-21,28615,,,,
Books,2020-11-17,NE/0197/20-21,10667,,,,
Books,2020-11-23,NE/0217/20-21,85185,GSTR2B Input,05/11/2020,NE/0217/20-21,85185
,,,,GSTR2B Input,02/11/2020,NE/0212/20-21,8284
,,,,GSTR2B Input,02/11/2020,NE/0213/20-21,19328
,,,,GSTR2B Input,03/11/2020,NE/0215/20-21,13806
,,,,GSTR2B Input,06/11/2020,NE/0219/20-21,32065
,,,,GSTR2B Input,07/11/2020,NE/0222/20-21,10585
,,,,GSTR2B Input,09/11/2020,NE/0225/20-21,49914
,,,,GSTR2B Input,11/11/2020,NE/0226/20-21,10915
,,,,GSTR2B Input,12/11/2020,NE/0228/20-21,89680
,,,,GSTR2B Input,18/11/2020,NE/0232/20-21,10526
,,,,GSTR2B Input,25/11/2020,NE/0240/20-21,10301
,,,,GSTR2B Input,25/11/2020,NE/0241/20-21,34568
27ABAPS7279N1ZT,Sterling Enterprise Mumbai
Source,Date,Narration,Gross Total,GST Source,Invoice Date,Invoice number,Invoice Value
Books,2020-11-17,318/20-21,30452,GSTR2B Input,09/11/2020,318/20-21,30452
Books,2020-11-23,360/20-21,29224,GSTR2B Input,20/11/2020,360/20-21,29224
Books,2020-11-25,299/20-21,27646,GSTR2B Input,04/11/2020,299/20-21,27646
